"item_number","itemDescription","item_price"
1,baking powder,15
2,beef,13
3,berries,4
4,beverages,4
5,bottled beer,8
6,bottled water,11
7,brown bread,2
8,butter,8
9,butter milk,12
10,cake bar,4
11,candy,10
12,canned beer,1
13,cat food,6
14,chicken,2
15,chocolate,13
16,chocolate marshmallow,4
17,citrus fruit,13
18,cleaner,14
19,coffee,8
20,cream cheese,13
21,curd,2
22,curd cheese,12
23,dessert,6
24,detergent,7
25,dishes,14
26,dog food,1
27,domestic eggs,8
28,female sanitary products,1
29,flower (seeds),15
30,frankfurter,13
31,frozen fish,14
32,frozen meals,12
33,frozen vegetables,12
34,fruit vegetable juice,2
35,grapes,13
36,hair spray,1
37,ham,6
38,hamburger meat,9
39,hard cheese,3
40,herbs,3
41,meat,14
42,hygiene articles,1
43,ice cream,1
44,jam,10
45,kitchen towels,9
46,liquor,8
47,liquor (appetizer),7
48,male cosmetics,5
49,margarine,3
50,mayonnaise,5
51,misc. beverages,10
52,mustard,10
53,napkins,12
54,newspapers,5
55,onions,3
56,other vegetables,11
57,packaged fruit vegetables,9
58,pasta,9
59,pastry,15
60,photo film,13
61,pickled vegetables,9
62,pip fruit,12
63,popcorn,6
64,pork,11
65,pot plants,1
66,processed cheese,14
67,red blush wine,13
68,rolls buns,4
69,root vegetables,11
70,salty snack,7
71,sausage,10
72,shopping bags,2
73,soda,2
74,softener,10
75,sparkling wine,15
76,specialty bar,9
77,specialty chocolate,8
78,sugar,3
79,tropical fruit,4
80,turkey,2
81,UHT-milk,4
82,waffles,7
83,whipped sour cream,6
84,whole milk,12
85,yogurt,2
86,zwieback,3
87,nut snack,3
88,cling film bags,8
89,oil,1
90,flour,2
91,salt,1
92,fruit vegetable juice,2
